Location Code,Name,Street,City,State,Country,Zipcode,Color,Photo URL,Description,,,
35d5c5727d5f38d0a20a4e6cff165296,Santa Cruz de Tenerife | Janeiro com Jossy,36 Avenida la Salle,Santa Cruz de Tenerife,Canarias,Spain,38005,red,,"28.459663, -16.257344",,,
71c48596c2636a94727335e508d43e57,Radazul | Janeiro com Jossy,34 Calle Valdés,Radazul,Canarias,Spain,38109,red,,"28.40207, -16.321382",,,
22584d9b951e236d81cabd9ec71b1256,Dunas de Maspalomas | New Year com os pais,,Maspalomas,Canary Islands,Spain,35100,red,,"27.736191, -15.584969",,,
9a22a08fd13e51090a5903253f74a42f,Las Palmas de Gran Canaria | New Year com os pais,27 Paseo la Cornisa,Las Palmas de Gran Canaria,Canarias,Spain,35011,red,,"28.123861, -15.435519",,,
e97fafdfb5826da3c3e4f34f7b471c35,Pozuelo de Alarc+on | CompBio Master,20 Calle Jesús Gil González,Pozuelo de Alarcón,Comunidad de Madrid,Spain,28223,green,,"40.43582, -3.813795",,,
,Munich | Trip with parents,,,,,,,,"48.140623, 11.545946",,,
,Salzburg | Trip with parents,,,,,,,,"47.803432, 13.042834",,,
,Grado | Trip with parents,,,,,,,,"45.67949, 13.385041",,,
,Venice | Trip with parents,,,,,,,,"45.437977, 12.32516",,,
,Trieste | Trip with parents,,,,,,,,"45.643033, 13.779475",,,
,Udine,,,,,,,,"46.062712, 13.23386",,,
,Bled,,,,,,,,"46.367445, 14.109162",,,
,Ljubljana,,,,,,,,"46.052556, 14.50527",,,
,Celje,,,,,,,,"46.229066, 15.265902",,,
,Izola,,,,,,,,"45.539628, 13.65942",,,
,Piran,,,,,,,,"45.528566, 13.567158",,,
,Portoroz,,,,,,,,"45.512148, 13.594066",,,
,Sant Pol de Mar,,,,,,,,"41.601172, 2.623497",,,
,Cadaques,,,,,,,,"42.288006, 3.276512",,,
,Cap de Creus,,,,,,,,"42.318746, 3.316037",,,
,Perpignan | Trip with Jossy,,,,,,,,"42.699529, 2.89507",,,
,Narbonne | Trip with Jossy,,,,,,,,"43.182618, 3.005192",,,
,Villefranche de Conflent | Trip with Jossy,,,,,,,,"42.589302, 2.368619",,,
,Planoles,,,,,,,,"42.316782, 2.10573",,,
,Jardin Artigas,,,,,,,,"42.253027, 1.976635",,,
,Ripoll | Walk with parents,,,,,,,,"42.200229, 2.189474",,,
,Camprodon,,,,,,,,"42.313061, 2.368542",,,
,Campdevanol | Hiking 7 gorge,,,,,,,,"42.223851, 2.161709",,,
,Olot | Vulcano Hiking,,,,,,,,"42.186716, 2.487495",,,
,Archena | Bathhouse,,,,,,,,"38.128879, -1.305645",,,
,Murcia | Trip with Jossy,,,,,,,,"37.988022, -1.126988",,,
,Granada | Trip with Jossy,,,,,,,,"37.173764, -3.6014",,,
,Malaga | Visiting Irene,,,,,,,,"36.722431, -4.418691",,,
,Sierra Nevada,,,,,,,,"37.091948, -3.386733",,,
,Benicarlo | Visiting Laura and Edu,,,,,,,,"40.417323, 0.424695",,,
,Malgrat de Mar | Visiting Nelson,,,,,,,,"41.645423, 2.741693",,,
,Holoprystanske | Uncle’s Dacha,,,,,,,,"46.54945, 32.585196",,,
,Bilhorod-Dnistrovski | Uncle’s House,,,,,,,,"46.186718, 30.295397",,,
,Odesa,,,,,,,,"46.433865, 30.752293",,,
,Casal do Rei | Trip with the Shitheads,,,,,,,,"40.310184, -7.753381",,,
,Terrassa/Matadepera | Hiking with Jossy,,,,,,,,"41.570389, 2.016224",,,
,St. Julian | Trip to Malta,,,,,,,,"35.921613, 14.488719",,,
,Valletta | Trip to Malta,,,,,,,,"35.897534, 14.512966",,,
,Mdina | Trip to Malta,,,,,,,,"35.885817, 14.402674",,,
,Strasbourg | Christmas Market 2021,,,,,,,,"48.581369, 7.749367",,,
,Caldes de Montbui | Jossys Friends House,,,,,,,,"41.632643, 2.168346",,,
,La Febro | Hiking in Prades,,,,,,,,"41.249164, 1.024776",,,
,San Marcos | Trip on Fathers Bday,,,,,,,,"28.377622, -16.723633",,,
,Antwerpen | Visiting Jossys University,,,,,,,,"51.176611, 4.345452",,,
,Ghent | Jossys Friends,,,,,,,,"51.048209, 3.725368",,,
,Bolendorf-Pont | Bike Ride,,,,,,,,"49.850630, 6.358565",,,
,Meteora | Greece solo Trip,,,,,,,,"39.712042, 21.636913",,,
,Athens | Greece solo Trip,,,,,,,,"37.979331, 23.708080",,,
,Marousi | Greece solo Trip,,,,,,,,"38.042754, 23.808591",,,
,Gaurio | Greece solo Trip,,,,,,,,"37.883656, 24.751601",,,
,Andros | Greece solo Trip,,,,,,,,"37.837220, 24.936955",,,
,Mpatsi | Greece solo Trip,,,,,,,,"37.859058, 24.784086",,,
,Tinos | Greece solo Trip,,,,,,,,"37.540276, 25.159674",,,
,Chania| Crete with mum,,,,,,,,"35.515740, 24.012552",,,
,Tauronitis | Crete with mum,,,,,,,,"35.532597, 23.820215",,,
,Balos Beach | Crete with mum,,,,,,,,"35.582239, 23.588891",,,
,Elafonisi Beach | Crete with mum,,,,,,,,"35.270938, 23.540708",,,
,Retino | Crete with mum,,,,,,,,"35.366539, 24.485501",,,
,Heraklio | Crete with mum,,,,,,,,"35.339237, 25.130607",,,
,Middelkerke | Trip with parents and Jossy,,,,,,,,"51.156748, 2.760600",,,
,Ostende | Trip with parents and Jossy,,,,,,,,"51.231525, 2.915199",,,
,Brugge | Trip with parents and Jossy,,,,,,,,"51.208565, 3.223818",,,
,Hallerbos | Trip with parents and Jossy,,,,,,,,"50.711757, 4.270404",,,
